id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_log_prob_delta_per_token_robust_z	removal_upper_iqr_outlier	removal_upper_mad_outlier
480	not	Hi Mike. What have you been up to?	Not much. I started exercising.	Much. I started exercising.	Trying to get in shape?	-21.80424690246582	-31.108612060546875	-1.982204263860529	-3.1108612060546874	11	10	-15.448416233062744	-15.915771961212158	-1.5448416233062745	-1.5915771961212157	10	10	-76.29385042190552	-86.05612802505493	-2.179824297768729	-2.531062588972204	35	34	True	1.1286569421941584	2.8820971903788473	True	False
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-9.679519414901733	-16.718581914901733	-1.3827884878431047	-2.786430319150289	7	6	-17.101454734802246	-18.776113510131836	-1.3154965180617113	-1.444316423856295	13	13	-146.79756712913513	-155.51763606071472	-1.9573008950551352	-2.101589676496145	75	74	True	1.4036418313071843	3.943634910293181	True	True
1467	not	May I help you, sir?__eou__Yes, please. I'm looking for a cotton polo shirt.__eou__Any particular colour?	Not really.	Really.	How about this one?	-6.1901984214782715	-15.261487483978271	-0.8843140602111816	-2.543581247329712	7	6	-6.403805732727051	-8.177652359008789	-0.7115339703030057	-0.9086280398898654	9	9	-81.09079122543335	-91.93592691421509	-1.5594382927967951	-1.8026652336120605	52	51	True	1.6592671871185303	4.930438069679631	True	True
1580	not	Excuse me. Could you please tell me how to get to the nearest cinema?__eou__Turn left at the second light. You can't miss it.__eou__Will it take me long to get there?	No. It's not far at all.	No. It's far at all.	Thank you very much.	-8.414529800415039	-22.508790969848633	-0.6472715231088492	-1.8757325808207195	13	12	-4.671584129333496	-4.79952335357666	-0.5190649032592773	-0.5332803726196289	9	9	-97.93262577056885	-112.16151189804077	-1.3415428187749157	-1.5577987763616774	73	72	True	1.2284610577118702	3.267375936300017	True	False
2543	not	Are you being served, madam?	Not yet.	Yet.	Sit here please.How would you like your hair done?	-8.810710906982422	-14.348796844482422	-1.2586729867117745	-2.3914661407470703	7	6	-42.30277919769287	-44.056758880615234	-2.8201852798461915	-2.937117258707682	15	15	-89.46127986907959	-96.76568794250488	-2.6312141137964584	-2.9322935740152993	34	33	True	1.1327931540352958	2.8980644127999997	True	False
2648	not	The road ahead is blocked. There might have been an accident.__eou__Are there many accidents in the city every day?	Not really, but they are on the rise.	Really, but they are on the rise.	Please drive slowly, we've got lots of time. Safety first.	-17.937156677246094	-32.457298278808594	-1.2812254769461495	-2.496715252216046	14	13	-44.52371311187744	-43.795350074768066	-2.4735396173265247	-2.4330750041537814	18	18	-145.1003932952881	-158.89947319030762	-2.3031808459569536	-2.5628947288759294	63	62	True	1.2154897752698963	3.2173022554071076	True	False
2740	not	That is the most boring, typical gift in the world!__eou__I know. But this year I want to get him an interesting tie. Like this one.	That's not exactly a conversation piece. It's so plain.	That's exactly a conversation piece. It's so plain.	It's perfect! It's a Dilbert tie!	-32.24209403991699	-48.953880310058594	-1.8965937670539408	-3.059617519378662	17	16	-28.74937391281128	-29.278122901916504	-1.9166249275207519	-1.951874860127767	15	15	-172.79395627975464	-190.06757831573486	-2.4337176940810514	-2.7152511187962123	71	70	True	1.1630237523247213	3.014765081274233	True	False
3015	not	Hello, can I help you?__eou__Yes, I wanna buy a skirt.__eou__What color and what style do you like?	I am not sure.	I am sure.	Well, you can have a look at our skirts hanging there.	-9.039371013641357	-17.291324138641357	-1.0043745570712619	-2.1614155173301697	9	8	-22.219585418701172	-25.50485897064209	-1.3070344363941866	-1.500285821802476	17	17	-98.7709231376648	-110.29997110366821	-1.5930794054462063	-1.8081962476011182	62	61	True	1.1570409602589078	2.991669414204124	True	False
3148	not	The road ahead is blocked. There might have been an accident.__eou__Are there many accidents in the city every day?	Not really, but they are on the rise.	Really, but they are on the rise.	Please drive slowly, we've got lots of time. Safety first.	-17.937156677246094	-32.457298278808594	-1.2812254769461495	-2.496715252216046	14	13	-44.52371311187744	-43.795350074768066	-2.4735396173265247	-2.4330750041537814	18	18	-145.1003932952881	-158.89947319030762	-2.3031808459569536	-2.5628947288759294	63	62	True	1.2154897752698963	3.2173022554071076	True	False
3153	not	I'm very sorry, sir. My car has broken down.__eou__Sorry to hear that. Can we do anything about it?	I'm afraid not.	I'm afraid.	Then I have to call another taxi, or I'll be late.	-5.992534160614014	-16.027812480926514	-0.6658371289571127	-2.003476560115814	9	8	-31.37855839729309	-31.56868839263916	-1.7432532442940607	-1.7538160218132868	18	18	-112.28252673149109	-122.48633432388306	-1.8713754455248515	-2.0760395648115773	60	59	True	1.3376394311587014	3.68884259210985	True	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-24.996758460998535	-39.486992835998535	-1.785482747214181	-3.2905827363332114	14	12	-19.67174530029297	-21.607680320739746	-1.513211176945613	-1.662129255441519	13	13	-141.66678762435913	-158.08105087280273	-2.083335112122928	-2.395167437466708	68	66	True	1.5050999891190304	4.335298837200916	True	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-20.380022287368774	-36.24937176704407	-1.3586681524912516	-2.7884132128495436	15	13	-15.183247566223145	-16.39235496520996	-1.0845176833016532	-1.1708824975149972	14	14	-135.73640131950378	-152.8432137966156	-1.9117803002747011	-2.2151190405306607	71	69	True	1.429745060358292	4.044402491881728	True	True
3697	not	Mr. Rogers?__eou__Mr. : Yes?	I'm not feeling too well.	I'm feeling too well.	Mr. : Would you like to go to the nurse's?	-15.02344036102295	-26.07763957977295	-1.3657673055475408	-2.607763957977295	11	10	-24.40245485305786	-31.427964210510254	-1.4354385207681095	-1.8487037770888384	17	17	-96.9658408164978	-115.0387134552002	-2.1547964625888403	-2.6145162148909136	45	44	True	1.2419966524297543	3.3196280596834273	True	False
4162	not	Do you know where you want to transfer to?__eou__I don’t have the slightest clue.__eou__What school would you like to go to?	I’m not sure.	I’m sure.	You honestly have no idea?	-4.982385158538818	-14.453332424163818	-0.5535983509487576	-1.8066665530204773	9	8	-18.225242614746094	-17.52291965484619	-1.8225242614746093	-1.7522919654846192	10	10	-92.70812463760376	-101.47748136520386	-1.5984159420276511	-1.7803066906176115	58	57	True	1.2530682020717197	3.3623681084212307	True	False
5445	not	What do you like to do in your spare time?__eou__I like playing chess.__eou__Do you have any hobbies besides playing chess?	I'm afraid not.	I'm afraid.	Do you have any hobbies like playing tennis or things like that?	-10.872838497161865	-19.465611934661865	-1.2080931663513184	-2.433201491832733	9	8	-30.817530632019043	-29.497085571289062	-1.8127959195305319	-1.7351226806640625	17	17	-96.83443117141724	-104.063241481781	-1.537054463038369	-1.6784393787384033	63	62	True	1.2251083254814148	3.25443321883332	True	False
5817	not	Thank you for coming to see me off.	Not at all.	At all.	If have time, I'll come again.	-7.869842529296875	-16.90899658203125	-0.9837303161621094	-2.4155709402901784	8	7	-31.74674129486084	-30.730438232421875	-2.442057022681603	-2.363879864032452	13	13	-82.33788585662842	-90.38360023498535	-2.4217025251949535	-2.738896976817738	34	33	True	1.431840624128069	4.052492099980848	True	True
5889	not	I really like the record you lent me the other day.__eou__I'm glad you like it.__eou__And thank you very much for letting me keep it so long.	Not at all.	At all.	I'm most grateful. Everyone in our class enjoyed it.	-3.994448184967041	-11.917591571807861	-0.4993060231208801	-1.7025130816868372	8	7	-39.62245750427246	-39.03264236450195	-2.476403594017029	-2.439540147781372	16	16	-131.1750259399414	-138.53038597106934	-1.9290444991167854	-2.0676177010607364	68	67	True	1.203207058565957	3.1698866787682975	True	False
5938	not	What are you doing this Saturday?	Not much.	Much.	Do you want to go see a movie?	-7.780893325805664	-16.276987075805664	-1.1115561894008092	-2.712831179300944	7	6	-11.841228485107422	-14.582601547241211	-0.9108637296236478	-1.1217385805570161	13	13	-52.86150360107422	-64.11715888977051	-1.7052097935830393	-2.137238629659017	31	30	True	1.6012749899001346	4.706567932645537	True	True
6038	not	Hi Mark.__eou__Hi.__eou__What are you planning to do today?	I'm not sure yet.	I'm sure yet.	Would you like to have lunch with me?	-6.639186978340149	-18.97182857990265	-0.6639186978340149	-2.1079809533225164	10	9	-13.620767593383789	-15.391900062561035	-1.0477513533372145	-1.183992312504695	13	13	-68.39208900928497	-82.49586308002472	-1.4248351876934369	-1.755231129362228	48	47	True	1.4440622554885016	4.099671865857563	True	True
6319	not	I can't believe how hot it is.	It's not even noon yet.	It's even noon yet.	That means it will get hotter.	-10.447183609008789	-22.79166603088379	-0.9497439644553445	-2.279166603088379	11	10	-18.804104804992676	-17.121715545654297	-1.7094640731811523	-1.5565195950594815	11	11	-66.01735973358154	-76.68433570861816	-1.8862102781023298	-2.2554216384887695	35	34	True	1.3294226386330343	3.657122902963147	True	True
6391	not	Good morning, Mei! How are you?__eou__Hi Tom! I'm fine, and you?	Not bad thanks.	Bad thanks.	Good. See you!	-9.828024864196777	-19.953757286071777	-1.2285031080245972	-2.850536755153111	8	7	-15.774605512619019	-18.774314880371094	-1.7527339458465576	-2.086034986707899	9	9	-86.36332106590271	-99.48876285552979	-1.9628027514977888	-2.3136921594309254	44	43	True	1.622033647128514	4.786703600222673	True	True
6628	not	Hello?__eou__Hi, Shelley. Have you had lunch?	Not yet.	Yet.	So shall we have lunch together? I’d like to take you this time.	-4.314867973327637	-12.684985160827637	-0.6164097104753766	-2.114164193471273	7	6	-40.88220834732056	-41.67788481712341	-2.044110417366028	-2.0838942408561705	20	20	-98.07700204849243	-107.24065947532654	-2.132108740184618	-2.3831257661183676	46	45	True	1.4977544829958962	4.306942617894757	True	True
6687	not	I love slim girls, don’t you?	Not particularly. I like fat girls.	Particularly. I like fat girls.	And I like a girl with good skin, do you?	-16.883224487304688	-29.877967834472656	-1.4069353739420574	-2.7161788940429688	12	11	-34.430572509765625	-34.493417739868164	-2.1519107818603516	-2.1558386087417603	16	16	-101.62871170043945	-114.68960380554199	-2.4787490658643767	-2.8672400951385497	41	40	True	1.3092435201009114	3.5792244571773995	True	True
7011	not	Hello, is that Cathy speaking?__eou__Yes, is that you, Allen?__eou__Yes, how are you doing?	Not bad.	Bad.	Say I've got two tickets for the concert this evening.Would you like to come with me?	-8.146990299224854	-14.094255924224854	-1.163855757032122	-2.3490426540374756	7	6	-47.676743030548096	-49.99935245513916	-1.9865309596061707	-2.083306352297465	24	24	-128.0342411994934	-136.2981104850769	-1.9697575569152832	-2.1296579763293266	65	64	True	1.1851868970053536	3.100322560982653	True	False
7058	not	I really like the book you lent me the other day.__eou__I'm glad you like it.__eou__And thank you very much for letting me keep it so long.	Not at all.	At all.	Everyone in our class enjoyed it too.It' s very interesting.	-4.255069255828857	-12.742730617523193	-0.5318836569786072	-1.820390088217599	8	7	-51.48128414154053	-51.3488187789917	-3.0283108318553253	-3.020518751705394	17	17	-136.16899180412292	-144.5205295085907	-1.9734636493351148	-2.1253019045380985	69	68	True	1.2885064312389918	3.499172051028293	True	False
7225	not	Hello, is that Cathy speaking?__eou__Yes, is that you, Allen?__eou__Yes, how are you doing?	Not bad.	Bad.	Say I've got two tickets for the concert this evening.Would you like to come with me?	-8.146990299224854	-14.094255924224854	-1.163855757032122	-2.3490426540374756	7	6	-47.676743030548096	-49.99935245513916	-1.9865309596061707	-2.083306352297465	24	24	-128.0342411994934	-136.2981104850769	-1.9697575569152832	-2.1296579763293266	65	64	True	1.1851868970053536	3.100322560982653	True	False
7554	not	Are you ready to go shopping?	Not yet. I'm not finished with my research yet.	Yet. I'm finished with my research yet.	What research?	-26.15843391418457	-39.73692512512207	-1.6349021196365356	-2.8383517946515764	16	14	-7.263843536376953	-8.72094440460205	-1.037691933768136	-1.2458492006574358	7	7	-66.98953437805176	-82.02874088287354	-1.9702804228838753	-2.563398152589798	34	32	True	1.2034496750150407	3.1708232630039066	True	False
8009	not	We're in big trouble, Jason. Nick is beating us by a long shot.	Impossible! Well, I'm not giving up yet. It's not over till the fat lady sings!	Impossible! Well, I'm giving up yet. It's over till the fat lady sings!	OK, comeback kid. Here's you last question.How many times did Robin Williams win the Oscar for Best Actor?	-38.69640064239502	-65.00090503692627	-1.5478560256958007	-2.826126305953316	25	23	-77.46804809570312	-79.51547622680664	-2.8691869665075234	-2.9450176380298756	27	27	-188.7480707168579	-217.09261798858643	-2.5855900098199713	-3.057642506881499	73	71	True	1.2782702802575152	3.459656932911714	True	False
8039	not	I have something really cool to tell you about! Do you know anything about online auctions?	Not really.	Really.	They're awesome! I was browsing through the eBay auction today, and I found the cutest fat little copper Buddha! It's over a hundred years old.	-4.449184417724609	-15.08077621459961	-0.6355977739606585	-2.513462702433268	7	6	-88.41390609741211	-87.86965560913086	-2.455941836039225	-2.4408237669203015	36	36	-159.46335792541504	-169.5802707672119	-2.45328242962177	-2.649691730737686	65	64	True	1.8778649284726097	5.774301704092117	True	True
8112	not	Are you ready to go shopping?	Not yet. I'm not finished with my research yet.	Yet. I'm finished with my research yet.	What research?	-26.15843391418457	-39.73692512512207	-1.6349021196365356	-2.8383517946515764	16	14	-7.263843536376953	-8.72094440460205	-1.037691933768136	-1.2458492006574358	7	7	-66.98953437805176	-82.02874088287354	-1.9702804228838753	-2.563398152589798	34	32	True	1.2034496750150407	3.1708232630039066	True	False
8177	not	Thank you for coming to see me off.	Not at all.	At all.	If I have time, I will come again.	-7.869842529296875	-16.90899658203125	-0.9837303161621094	-2.4155709402901784	8	7	-24.46903133392334	-23.456242561340332	-1.7477879524230957	-1.675445897238595	14	14	-75.06017589569092	-83.09459400177002	-2.1445764541625976	-2.443958647110883	35	34	True	1.431840624128069	4.052492099980848	True	True
9128	not	What's going on?	Not much.	Much.	This Friday, I'm throwing a party.	-6.996074676513672	-13.853776931762695	-0.9994392395019531	-2.308962821960449	7	6	-24.93797016143799	-26.411974906921387	-1.9183053970336914	-2.031690377455491	13	13	-60.23127460479736	-68.55415630340576	-2.0769405036137023	-2.448362725121634	29	28	True	1.309523582458496	3.5803055956990955	True	True
9132	not	What are you doing this weekend?__eou__I'm going to the movies with a friend. How about you?	I'm not sure yet.	I'm sure yet.	Well, did you want to go see a movie with me?	-6.091208457946777	-20.484885215759277	-0.6091208457946777	-2.2760983573065863	10	9	-19.922274112701416	-20.813796043395996	-1.1718984772177303	-1.2243409437291763	17	17	-74.88284063339233	-90.1650333404541	-1.3371935827391488	-1.639364242553711	56	55	True	1.6669775115119085	4.9602026149342695	True	True
9157	not	You have any ideas as to what you want to do this weekend?__eou__I'm going to the movie theater with my friend. What are you going to do?	I'm not quite sure yet.	I'm quite sure yet.	How about you see a movie with me and my friend?	-9.381731986999512	-20.8727445602417	-0.8528847260908647	-2.08727445602417	11	10	-18.23833990097046	-18.634490966796875	-1.1398962438106537	-1.1646556854248047	16	16	-104.09940671920776	-115.9853630065918	-1.5537224883463845	-1.7573539849483606	67	66	True	1.234389729933305	3.2902626818676057	True	False
10386	not	I need my minibar restocked.__eou__Everything is gone, sir?	There's not a drop left of anything.	There's a drop left of anything.	Is there anything in particular you want?	-17.92979335784912	-32.49424648284912	-1.3792148736807017	-2.7078538735707602	13	12	-15.405458450317383	-15.460566520690918	-1.2837882041931152	-1.28838054339091	12	12	-101.55456638336182	-116.17412757873535	-2.160735454965145	-2.525524512581203	47	46	True	1.3286389998900585	3.654097783702455	True	True
11808	not	We did a survey on your job performance.__eou__How did I do?	Not so good. Lots of complains.	So good. Lots of complains.	Really? I thought I was doing well.	-24.268457412719727	-35.109747886657715	-2.022371451059977	-3.1917952624234287	12	11	-11.76575231552124	-13.031214237213135	-0.9050578704247108	-1.0024010951702411	13	13	-93.85699796676636	-105.96653032302856	-1.9969574035482203	-2.3036202244136645	47	46	True	1.1694238113634516	3.039471544604654	True	False
11940	not	We did a survey on your job performance.__eou__How did I do?	Not so good. Lots of complains.	So good. Lots of complains.	Really? I thought I was doing well.	-24.268457412719727	-35.109747886657715	-2.022371451059977	-3.1917952624234287	12	11	-11.76575231552124	-13.031214237213135	-0.9050578704247108	-1.0024010951702411	13	13	-93.85699796676636	-105.96653032302856	-1.9969574035482203	-2.3036202244136645	47	46	True	1.1694238113634516	3.039471544604654	True	False
13071	not	I need to use the ATM.__eou__What’s stopping you?	I’m not sure how.	I’m sure how.	I don’t understand.	-10.242583274841309	-20.88516139984131	-1.0242583274841308	-2.3205734888712564	10	9	-10.399680614471436	-9.96123218536377	-1.1555200682746039	-1.10680357615153	9	9	-74.84897184371948	-85.06823825836182	-1.9192044062492175	-2.238637848904258	39	38	True	1.2963151613871255	3.5293164768678857	True	True
