id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-63.896240234375	-80.267578125	-5.324686686197917	-7.297052556818182	12	11	-50.45450401306152	-52.86813354492188	-3.603893143790109	-3.776295253208705	14	14	-256.6978313922882	-275.46758365631104	-3.949197406035203	-4.30418099462986	65	64	True	False	1.9723658706202647	True
1270	not	Excuse me, I'm looking for the Holiday Inn. Do you know where it is?__eou__Sure. It's down this street on the left.__eou__Is it far from here?	No, it's not far.	No, it's far.	How far is it?	-66.78241896629333	-81.60956740379333	-5.137109151253333	-6.800797283649445	13	12	-36.6456298828125	-26.6494140625	-3.3314208984375	-2.4226740056818183	11	11	-280.5675446987152	-285.3984773159027	-3.5514879075786734	-3.658954837383368	79	78	True	False	1.6636881323961115	True
1467	not	May I help you, sir?__eou__Yes, please. I'm looking for a cotton polo shirt.__eou__Any particular colour?	Not really.	Really.	How about this one?	-54.107852935791016	-61.91095352172852	-6.011983659532335	-7.738869190216064	9	8	-25.88210678100586	-36.02930450439453	-2.35291879827326	-3.275391318581321	11	11	-238.23653411865237	-256.1856117248535	-3.781532287597656	-4.132025995562153	63	62	True	False	1.7268855306837283	True
1580	not	Excuse me. Could you please tell me how to get to the nearest cinema?__eou__Turn left at the second light. You can't miss it.__eou__Will it take me long to get there?	No. It's not far at all.	No. It's far at all.	Thank you very much.	-58.92160224914551	-83.5169677734375	-3.928106816609701	-5.965497698102679	15	14	-31.0569566488266	-33.362348675727844	-2.823359695347873	-3.0329407887025317	11	11	-279.7237867116928	-306.62820637226105	-3.330045079901105	-3.694315739424832	84	83	True	False	2.037390881492978	True
1697	not	I'll try one of these on. ( The customer tries one of the shoes on. ) It's too big. It slides up and down my heel when I walk around.__eou__Well, let's try a size ten. ( He gets another pair and the customer tries a shoe on. ) Looks like a perfect fit.	Not really. It pinches my toes.	Really. It pinches my toes.	I'm sure they'll be fine once you break them in.	-70.93012380599976	-89.12126445770264	-4.728674920399984	-6.3658046041216165	15	14	-61.657573223114014	-53.53030776977539	-3.2451354327954745	-2.817384619461863	19	19	-416.8364511728287	-426.9003263711929	-3.755283343899357	-3.880912057919936	111	110	True	False	1.637129683721633	True
1867	not	Wake up, Mary.__eou__What is it? It's eight in the morning.__eou__We're all going to church. Do you want to come?	No. I'm not a religious person.	No. I'm a religious person.	Are you sure?	-59.47117900848389	-82.10189056396484	-3.964745267232259	-5.8644207545689175	15	14	-27.99385702610016	-31.974886894226078	-2.799385702610016	-3.1974886894226078	10	10	-258.6174792051316	-285.2177436351776	-3.5427051945908428	-3.961357550488578	73	72	True	False	1.8996754873366584	True
2467	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-63.896240234375	-80.267578125	-5.324686686197917	-7.297052556818182	12	11	-50.45450401306152	-52.86813354492188	-3.603893143790109	-3.776295253208705	14	14	-256.6978313922882	-275.46758365631104	-3.949197406035203	-4.30418099462986	65	64	True	False	1.9723658706202647	True
3421	not	Did you clean your room today?	No, not yet.	No, yet.	Well, when were you planning on doing that?	-61.69092178344727	-72.57379531860352	-5.608265616677024	-7.257379531860352	11	10	-54.46498441696167	-54.32210946083069	-3.4040615260601044	-3.395131841301918	16	16	-142.87632703781128	-153.60459923744202	-3.4847884643368605	-3.8401149809360495	41	40	True	False	1.6491139151833272	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-76.36222648620605	-100.057373046875	-4.772639155387878	-7.146955217633929	16	14	-42.95295715332031	-41.76914978027344	-2.863530476888021	-2.7846099853515627	15	15	-322.0700030326843	-344.5784087181092	-4.076835481426384	-4.475044269066353	79	77	True	False	2.3743160622460504	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-65.00121307373047	-88.312255859375	-3.8236007690429688	-5.887483723958334	17	15	-31.9451265335083	-29.712773203849792	-1.9965704083442688	-1.857048325240612	16	16	-293.502073764801	-314.5885146856308	-3.5792935824975736	-3.932356433570385	82	80	True	False	2.063882954915365	True
4071	not	Excuse me, Professor, I have a problem and need to leave class early.__eou__Why do you have to leave early?	I am not feeling well.	I am feeling well.	Could you make it up by attending my other section this week?	-48.91869735717773	-66.98735809326172	-4.0765581130981445	-6.089759826660156	12	11	-75.19677734375	-74.813232421875	-3.9577251233552633	-3.9375385485197367	19	19	-242.79013442993164	-260.4677314758301	-3.570443153381348	-3.8875780817288073	68	67	True	False	2.0132017135620117	True
4162	not	Do you know where you want to transfer to?__eou__I don’t have the slightest clue.__eou__What school would you like to go to?	I’m not sure.	I’m sure.	You honestly have no idea?	-51.5591983795166	-63.64390707015991	-4.687199852683327	-6.364390707015991	11	10	-47.10215091705322	-44.090243339538574	-3.925179243087769	-3.674186944961548	12	12	-270.423789024353	-279.5182046890259	-3.919185348179029	-4.110561833662145	69	68	True	False	1.6771908543326637	True
4411	not	You don’t look like enjoying this workout.	I’m not crazy about it at all.	I’m crazy about it at all.	You don’t like this sort of exercise?	-75.23488235473633	-93.8921890258789	-5.015658823649089	-6.706584930419922	15	14	-55.80588614940643	-48.244903922080994	-3.720392409960429	-3.216326928138733	15	15	-187.24791991710663	-198.36269795894623	-4.070606954719709	-4.4080599546432495	46	45	True	False	1.6909261067708332	True
6038	not	Hi Mark.__eou__Hi.__eou__What are you planning to do today?	I'm not sure yet.	I'm sure yet.	Would you like to have lunch with me?	-51.52568817138672	-69.58843231201172	-4.29380734761556	-6.326221119273793	12	11	-48.12079429626465	-52.2815408706665	-3.20805295308431	-3.4854360580444337	15	15	-231.68893241882324	-253.9048547744751	-3.926931057946157	-4.377669909904743	59	58	True	False	2.0324137716582333	True
6487	not	Lily thinks that the job takes a back seat to the family after she is married.__eou__She must be a good wife.	Not necessarily. This is only what she says, not what she does.	Necessarily. This is only what she says, what she does.	I see.	-89.46371459960938	-120.72305297851562	-4.260176885695684	-6.036152648925781	21	20	-36.193153381347656	-30.29972076416016	-4.021461486816406	-3.36663564046224	9	9	-301.04917907714844	-326.4229736328125	-4.493271329509678	-4.945802630800189	67	66	True	False	1.7759757632300968	True
6628	not	Hello?__eou__Hi, Shelley. Have you had lunch?	Not yet.	Yet.	So shall we have lunch together? I’d like to take you this time.	-50.0646858215332	-60.95068359375	-5.562742869059245	-7.61883544921875	9	8	-59.15190315246582	-63.60038948059082	-2.6887228705666284	-2.89092679457231	22	22	-234.27829933166504	-249.61279487609863	-4.338487024660464	-4.709675375020729	54	53	True	False	2.056092580159505	True
6913	not	You don’t look like enjoying this workout.	I’m not crazy about it at all.	I’m crazy about it at all.	You don’t like this sort of exercise?	-75.23488235473633	-93.8921890258789	-5.015658823649089	-6.706584930419922	15	14	-55.80588614940643	-48.244903922080994	-3.720392409960429	-3.216326928138733	15	15	-187.24791991710663	-198.36269795894623	-4.070606954719709	-4.4080599546432495	46	45	True	False	1.6909261067708332	True
7554	not	Are you ready to go shopping?	Not yet. I'm not finished with my research yet.	Yet. I'm finished with my research yet.	What research?	-88.48904418945312	-107.03152465820312	-4.916058010525173	-6.689470291137695	18	16	-47.36285662651062	-39.70947265625	-5.262539625167847	-4.412163628472222	9	9	-164.77519488334656	-175.6626434326172	-4.018907192276745	-4.504170344426082	41	39	True	False	1.773412280612522	True
8009	not	We're in big trouble, Jason. Nick is beating us by a long shot.	Impossible! Well, I'm not giving up yet. It's not over till the fat lady sings!	Impossible! Well, I'm giving up yet. It's over till the fat lady sings!	OK, comeback kid. Here's you last question.How many times did Robin Williams win the Oscar for Best Actor?	-101.4142302274704	-145.98727667331696	-3.756082601017422	-5.839491066932678	27	25	-139.31728553771973	-134.83673667907715	-4.804044328886887	-4.649542644106108	29	29	-312.64861381053925	-352.7731716632843	-3.9081076726317407	-4.522732970042107	80	78	True	False	2.0834084659152556	True
8039	not	I have something really cool to tell you about! Do you know anything about online auctions?	Not really.	Really.	They're awesome! I was browsing through the eBay auction today, and I found the cutest fat little copper Buddha! It's over a hundred years old.	-66.53608226776123	-78.94916820526123	-7.392898029751247	-9.868646025657654	9	8	-156.1539807319641	-155.07192766666412	-4.109315282420108	-4.080840201754319	38	38	-291.8345228433609	-303.1489541530609	-4.0532572617133455	-4.269703579620576	72	71	True	False	2.4757479959064064	True
8112	not	Are you ready to go shopping?	Not yet. I'm not finished with my research yet.	Yet. I'm finished with my research yet.	What research?	-88.48904418945312	-107.03152465820312	-4.916058010525173	-6.689470291137695	18	16	-47.36285662651062	-39.70947265625	-5.262539625167847	-4.412163628472222	9	9	-164.77519488334656	-175.6626434326172	-4.018907192276745	-4.504170344426082	41	39	True	False	1.773412280612522	True
8328	not	Hi, David! What are you doing?__eou__Oh, just looking at these club notices. I'm thinking of joining one. Hey-why don't we join a club together? How about the Tennis Club?	Actually, I'm not good at tennis at all ...	Actually, I'm good at tennis at all ...	Neither am I. It's just that the best-looking girls are in that club.	-66.52528941631317	-93.09662246704102	-3.913252318606657	-5.818538904190064	17	16	-70.54246544837952	-73.48421084880829	-3.0670637151469355	-3.194965689078621	23	23	-332.168398976326	-361.6651142835617	-3.533706372088574	-3.8888721965974375	94	93	True	False	1.9052865855834074	True
9132	not	What are you doing this weekend?__eou__I'm going to the movies with a friend. How about you?	I'm not sure yet.	I'm sure yet.	Well, did you want to go see a movie with me?	-59.62760925292969	-75.08976745605469	-4.968967437744141	-6.826342496004972	12	11	-38.8385009765625	-47.68272018432617	-2.0441316303453947	-2.5096168518066406	19	19	-185.53352797031403	-209.8235479593277	-2.8989613745361567	-3.330532507290916	64	63	True	False	1.857375058260831	True
9157	not	You have any ideas as to what you want to do this weekend?__eou__I'm going to the movie theater with my friend. What are you going to do?	I'm not quite sure yet.	I'm quite sure yet.	How about you see a movie with me and my friend?	-64.86328125	-80.72317504882812	-4.989483173076923	-6.726931254069011	13	12	-52.8199850320816	-53.0830340385437	-2.9344436128934226	-2.949057446585761	18	18	-253.13650846481323	-269.28395688533783	-3.3751534461975097	-3.638972390342403	75	74	True	False	1.7374480809920874	True
9496	not	Good afternoon, ladies. May I help you?__eou__Can we have two adjoining double rooms, sir?__eou__Have you made a reservation, ladies?	I'm afraid not.	I'm afraid.	One moment, please. I have to check if there are rooms available. I'm sorry, ladies. We have only two double rooms available but they are on different floors. Would you mind that?	-50.93516540527344	-63.93711853027344	-4.630469582297585	-6.393711853027344	11	10	-117.4922251701355	-119.6312174797058	-2.554178808046424	-2.60067864086317	46	46	-363.5453028678894	-378.6696467399597	-3.495627912191244	-3.6764043372811614	104	103	True	False	1.7632422707297586	True
10386	not	I need my minibar restocked.__eou__Everything is gone, sir?	There's not a drop left of anything.	There's a drop left of anything.	Is there anything in particular you want?	-74.27850341796875	-96.449462890625	-4.951900227864583	-6.889247349330357	15	14	-50.05777740478516	-54.0128173828125	-3.5755555289132253	-3.858058384486607	14	14	-253.11323261260983	-279.23923206329346	-4.602058774774725	-5.17109689006099	55	54	True	False	1.9373471214657734	True
